a
b
學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
1011	中華大學	520114	資訊工程學系	D 日	M 碩士	65	0	18	18 新竹市	1 一般
1011	中華大學	520201	(動力)機械工程學系	D 日	M 碩士	25	0	12	18 新竹市	1 一般
1011	中華大學	520301	土木工程學系	D 日	M 碩士	26	0	16	18 新竹市	1 一般
1011	中華大學	580109	建築(與)都市計劃學系	D 日	M 碩士	20	0	9	18 新竹市	1 一般
1011	中華大學	580202	景觀建築(與)(管理)學系	D 日	M 碩士	11	0	5	18 新竹市	1 一般
1012	大葉大學	239999	設計(暨藝術)學院(不分系)	D 日	M 碩士	66	0	23	07 彰化縣	1 一般
1012	大葉大學	340201	會計(與)(資訊)(科技)(系統)學系	D 日	M 碩士	1	0	1	07 彰化縣	1 一般
1012	大葉大學	810508	休閒(事業)管理學系	D 日	M 碩士	28	0	20	07 彰化縣	1 一般1013	華梵大學	310716	東方人文思想研究所	D 日	M 碩士	34	3	9	01 新北市	1 一般
1013	華梵大學	480109	資訊管理(技術)學系	D 日	M 碩士	9	0	7	01 新北市	1 一般
1013	華梵大學	520103	(微)電子(工程)學系	D 日	M 碩士	24	0	15	01 新北市	1 一般
1014	義守大學	320101	大眾傳播學系	D 日	M 碩士	21	0	0	12 高雄市	1 一般
1014	義守大學	340301	企業管理學系	D 日	M 碩士	28	0	18	12 高雄市	1 一般
1014	義守大學	520502	材料科學(與)(工程)學系	D 日	M 碩士	35	0	26	12 高雄市	1 一般
1014	義守大學	521108	生物醫學工程學系	D 日	M 碩士	16	0	9	12 高雄市	1 一般
1015	世新大學	310503	社會心理學系	D 日	M 碩士	19	0	7	30 臺北市	1 一般
1015	世新大學	310804	行政管理(暨政策)學系	D 日	M 碩士	17	0	5	30 臺北市	1 一般
1015	世新大學	320105	資訊傳播(工程)(設計)學系	D 日	M 碩士	19	0	5	30 臺北市	1 一般
1015	世新大學	320108	口語傳播學系	D 日	M 碩士	35	0	4	30 臺北市	1 一般
1015	世新大學	349925	傳播管理學系	D 日	M 碩士	21	0	12	30 臺北市	1 一般
1016	銘傳大學	220202	應用中(國)文學系	D 日	M 碩士	11	0	3	30 臺北市	1 一般
1016	銘傳大學	340201	會計(與)(資訊)(科技)(系統)學系	D 日	M 碩士	23	0	12	30 臺北市	1 一般
1016	銘傳大學	340301	企業管理學系	D 日	M 碩士	65	0	37	30 臺北市	1 一般
